,state_prev,action,next_reward,next_state,game_over
39,[19.42179514 11.          3.          7.        ],"[tensor([-33.0271], grad_fn=<AddBackward0>)]",-18.18,[19.53432025 12.          3.          7.1       ],False
40,[19.53432025 12.          3.          7.1       ],"[tensor([-33.8026], grad_fn=<AddBackward0>)]",-16.33,[19.6079897 14.         3.         4.5      ],False
41,[19.6079897 14.         3.         4.5      ],"[tensor([-34.7580], grad_fn=<AddBackward0>)]",-6.72,[19.52767267 16.          3.          4.        ],False
42,[19.52767267 16.          3.          4.        ],"[tensor([-35.8435], grad_fn=<AddBackward0>)]",-7.62,[19.4550444 17.         3.         4.1      ],False
43,[19.4550444 17.         3.         4.1      ],"[tensor([-36.3525], grad_fn=<AddBackward0>)]",-8.57,[19.40690579 18.          3.          4.        ],False
44,[19.40690579 18.          3.          4.        ],"[tensor([-36.8757], grad_fn=<AddBackward0>)]",-9.17,[19.38155288 19.          3.          3.6       ],False
45,[19.38155288 19.          3.          3.6       ],"[tensor([-37.3853], grad_fn=<AddBackward0>)]",-9.82,[19.35126404 22.          3.          3.2       ],False
46,[19.35126404 22.          3.          3.2       ],"[tensor([-39.1221], grad_fn=<AddBackward0>)]",-9.94,[19.34277073 23.          3.          3.        ],False
47,[19.34277073 23.          3.          3.        ],"[tensor([-39.7051], grad_fn=<AddBackward0>)]",-10.13,[19.32624421  1.          4.          2.7       ],False
48,[19.32624421  1.          4.          2.7       ],"[tensor([-38.7863], grad_fn=<AddBackward0>)]",-10.35,[19.31255459  1.          4.          2.7       ],False
49,[19.31255459  1.          4.          2.7       ],"[tensor([-39.1954], grad_fn=<AddBackward0>)]",-10.56,[19.30082271  2.          4.          2.5       ],False
50,[19.30082271  2.          4.          2.5       ],"[tensor([-39.6734], grad_fn=<AddBackward0>)]",-11.04,[19.26644758  4.          4.          1.2       ],False
51,[19.26644758  4.          4.          1.2       ],"[tensor([-40.3526], grad_fn=<AddBackward0>)]",-11.73,[19.19523997  5.          4.          1.2       ],False
52,[19.19523997  5.          4.          1.2       ],"[tensor([-40.7795], grad_fn=<AddBackward0>)]",-12.49,[19.153925  6.        4.        1.5     ],False
53,[19.153925  6.        4.        1.5     ],"[tensor([-41.3742], grad_fn=<AddBackward0>)]",-12.94,[19.13674564  7.          4.          1.5       ],False
54,[19.13674564  7.          4.          1.5       ],"[tensor([-41.9598], grad_fn=<AddBackward0>)]",-23.15,[19.12785946  9.          4.          0.5       ],False
55,[19.12785946  9.          4.          0.5       ],"[tensor([-42.9637], grad_fn=<AddBackward0>)]",-21.57,[19.31553316 10.          4.          1.5       ],False
56,[19.31553316 10.          4.          1.5       ],"[tensor([-44.2407], grad_fn=<AddBackward0>)]",-19.43,[19.43784284 11.          4.          2.        ],False
57,[19.43784284 11.          4.          2.        ],"[tensor([-45.3248], grad_fn=<AddBackward0>)]",-17.77,[19.48587665 14.          4.          3.5       ],False
58,[19.48587665 14.          4.          3.5       ],"[tensor([-48.1315], grad_fn=<AddBackward0>)]",-18.45,[19.39474028 15.          4.          3.5       ],False
59,[19.39474028 15.          4.          3.5       ],"[tensor([-48.7552], grad_fn=<AddBackward0>)]",-9.58,[19.32128671 16.          4.          2.2       ],False
60,[19.32128671 16.          4.          2.2       ],"[tensor([-49.1314], grad_fn=<AddBackward0>)]",-10.53,[19.2746285 17.         4.         2.       ],False
61,[19.2746285 17.         4.         2.       ],"[tensor([-49.7737], grad_fn=<AddBackward0>)]",-11.14,[19.25183083 18.          4.          1.        ],False
62,[19.25183083 18.          4.          1.        ],"[tensor([-50.2709], grad_fn=<AddBackward0>)]",-11.51,[19.22963804 19.          4.          1.1       ],False
63,[19.22963804 19.          4.          1.1       ],"[tensor([-51.0023], grad_fn=<AddBackward0>)]",-11.92,[19.20035438 20.          4.         -0.2       ],False
64,[19.20035438 20.          4.         -0.2       ],"[tensor([-51.4192], grad_fn=<AddBackward0>)]",-12.2,[19.18960752 21.          4.          0.        ],False
65,[19.18960752 21.          4.          0.        ],"[tensor([-52.2375], grad_fn=<AddBackward0>)]",-12.25,[19.19454494 22.          4.          0.        ],False
66,[19.19454494 22.          4.          0.        ],"[tensor([-53.0565], grad_fn=<AddBackward0>)]",-12.46,[19.1659329 23.         4.         0.5      ],False
67,[19.1659329 23.         4.         0.5      ],"[tensor([-53.9523], grad_fn=<AddBackward0>)]",-12.82,[19.1429576  1.         5.         1.5      ],False
68,[19.1429576  1.         5.         1.5      ],"[tensor([-52.9754], grad_fn=<AddBackward0>)]",-13.07,[19.13474695  1.          5.          1.5       ],False
69,[19.13474695  1.          5.          1.5       ],"[tensor([-53.5490], grad_fn=<AddBackward0>)]",-13.24,[19.12186691  2.          5.          1.7       ],False
70,[19.12186691  2.          5.          1.7       ],"[tensor([-54.3104], grad_fn=<AddBackward0>)]",-13.41,[19.10974473  3.          5.          2.        ],False
71,[19.10974473  3.          5.          2.        ],"[tensor([-55.1584], grad_fn=<AddBackward0>)]",-13.62,[19.09469652  4.          5.          1.5       ],False
72,[19.09469652  4.          5.          1.5       ],"[tensor([-55.7290], grad_fn=<AddBackward0>)]",-14.06,[19.05320298  5.          5.          1.7       ],False
73,[19.05320298  5.          5.          1.7       ],"[tensor([-56.4840], grad_fn=<AddBackward0>)]",-14.47,[19.03565518  6.          5.          1.7       ],False
74,[19.03565518  6.          5.          1.7       ],"[tensor([-57.2719], grad_fn=<AddBackward0>)]",-14.58,[19.03970842  7.          5.          1.7       ],False
75,[19.03970842  7.          5.          1.7       ],"[tensor([-58.1521], grad_fn=<AddBackward0>)]",-14.56,[19.03866054  8.          5.          2.        ],False
76,[19.03866054  8.          5.          2.        ],"[tensor([-59.0907], grad_fn=<AddBackward0>)]",-24.810000000000002,[19.00702192  9.          5.          2.        ],False
77,[19.00702192  9.          5.          2.        ],"[tensor([-59.8986], grad_fn=<AddBackward0>)]",-24.939999999999998,[19.01321832 10.          5.          2.        ],False
78,[19.01321832 10.          5.          2.        ],"[tensor([-60.9135], grad_fn=<AddBackward0>)]",-24.35,[19.07933043 11.          5.          2.5       ],False
79,[19.07933043 11.          5.          2.5       ],"[tensor([-62.2915], grad_fn=<AddBackward0>)]",-23.41,[19.1405264 12.         5.         2.7      ],False
80,[19.1405264 12.         5.         2.7      ],"[tensor([-63.6571], grad_fn=<AddBackward0>)]",-22.67,[19.17523356 13.          5.          2.7       ],False
81,[19.17523356 13.          5.          2.7       ],"[tensor([-64.9500], grad_fn=<AddBackward0>)]",-21.810000000000002,[19.24629546 14.          5.          2.7       ],False
82,[19.24629546 14.          5.          2.7       ],"[tensor([-66.3940], grad_fn=<AddBackward0>)]",-21.03,[19.28752016 15.          5.          2.7       ],False
83,[19.28752016 15.          5.          2.7       ],"[tensor([-67.8252], grad_fn=<AddBackward0>)]",-11.01,[19.25130451 16.          5.          2.6       ],False
84,[19.25130451 16.          5.          2.6       ],"[tensor([-68.9564], grad_fn=<AddBackward0>)]",-12.04,[19.15925517 17.          5.          2.2       ],False
85,[19.15925517 17.          5.          2.2       ],"[tensor([-69.8146], grad_fn=<AddBackward0>)]",-13.16,[19.10425799 18.          5.          2.2       ],False
86,[19.10425799 18.          5.          2.2       ],"[tensor([-70.8797], grad_fn=<AddBackward0>)]",-14.13,[19.04567046 19.          5.          1.5       ],False
87,[19.04567046 19.          5.          1.5       ],"[tensor([-71.7213], grad_fn=<AddBackward0>)]",-14.76,[19.02073471 20.          5.          1.7       ],False
88,[19.02073471 20.          5.          1.7       ],"[tensor([-72.9520], grad_fn=<AddBackward0>)]",-15.42,[18.96829656 21.          5.          1.5       ],False
89,[18.96829656 21.          5.          1.5       ],"[tensor([-73.9919], grad_fn=<AddBackward0>)]",-15.87,[18.95324732 22.          5.          1.2       ],False
90,[18.95324732 22.          5.          1.2       ],"[tensor([-75.1346], grad_fn=<AddBackward0>)]",-16.06,[18.94935587 23.          5.          1.2       ],False
91,[18.94935587 23.          5.          1.2       ],"[tensor([-76.4755], grad_fn=<AddBackward0>)]",-16.01,[18.95991884  1.          6.          0.7       ],False
92,[18.95991884  1.          6.          0.7       ],"[tensor([-73.0286], grad_fn=<AddBackward0>)]",-16.16,[18.91715633  1.          6.          0.7       ],False
93,[18.91715633  1.          6.          0.7       ],"[tensor([-73.7275], grad_fn=<AddBackward0>)]",-16.41,[18.91527398  2.          6.          0.7       ],False
94,[18.91527398  2.          6.          0.7       ],"[tensor([-74.7954], grad_fn=<AddBackward0>)]",-16.39,[18.92571814  3.          6.          0.7       ],False
95,[18.92571814  3.          6.          0.7       ],"[tensor([-75.9412], grad_fn=<AddBackward0>)]",-16.25,[18.93524219  4.          6.          0.7       ],False
96,[18.93524219  4.          6.          0.7       ],"[tensor([-77.1434], grad_fn=<AddBackward0>)]",-16.35,[18.91700797  5.          6.          0.7       ],False
97,[18.91700797  5.          6.          0.7       ],"[tensor([-78.2923], grad_fn=<AddBackward0>)]",-16.5,[18.91221162  6.          6.          1.1       ],False
98,[18.91221162  6.          6.          1.1       ],"[tensor([-79.6825], grad_fn=<AddBackward0>)]",-16.57,[18.91207364  7.          6.          0.6       ],False
99,[18.91207364  7.          6.          0.6       ],"[tensor([-80.7272], grad_fn=<AddBackward0>)]",-16.2,[18.97502539  8.          6.          1.        ],False
100,[18.97502539  8.          6.          1.        ],"[tensor([-82.3582], grad_fn=<AddBackward0>)]",-25.52,[19.00977262  9.          6.          0.5       ],False
101,[19.00977262  9.          6.          0.5       ],"[tensor([-83.6264], grad_fn=<AddBackward0>)]",-24.85,[19.05759106 10.          6.          1.        ],False
102,[19.05759106 10.          6.          1.        ],"[tensor([-85.3944], grad_fn=<AddBackward0>)]",-24.04,[19.11182284 11.          6.          1.2       ],False
103,[19.11182284 11.          6.          1.2       ],"[tensor([-87.1232], grad_fn=<AddBackward0>)]",-22.880000000000003,[19.20311763 12.          6.          1.6       ],False
104,[19.20311763 12.          6.          1.6       ],"[tensor([-89.1227], grad_fn=<AddBackward0>)]",-21.32,[19.33566309 13.          6.          1.5       ],False
105,[19.33566309 13.          6.          1.5       ],"[tensor([-91.1566], grad_fn=<AddBackward0>)]",-19.79,[19.41308372 14.          6.          1.2       ],False
106,[19.41308372 14.          6.          1.2       ],"[tensor([-92.9471], grad_fn=<AddBackward0>)]",-19.2,[19.40251225 15.          6.          1.1       ],False
107,[19.40251225 15.          6.          1.1       ],"[tensor([-94.5011], grad_fn=<AddBackward0>)]",-9.8,[19.31641493 16.          6.          0.5       ],False
108,[19.31641493 16.          6.          0.5       ],"[tensor([-95.4983], grad_fn=<AddBackward0>)]",-11.14,[19.21910569 17.          6.          0.        ],False
109,[19.21910569 17.          6.          0.        ],"[tensor([-96.3740], grad_fn=<AddBackward0>)]",-12.55,[19.15247522 18.          6.         -0.2       ],False
110,[19.15247522 18.          6.         -0.2       ],"[tensor([-97.4061], grad_fn=<AddBackward0>)]",-13.4,[19.11894908 19.          6.         -0.5       ],False
111,[19.11894908 19.          6.         -0.5       ],"[tensor([-98.4886], grad_fn=<AddBackward0>)]",-14.07,[19.07418954 20.          6.         -0.7       ],False
112,[19.07418954 20.          6.         -0.7       ],"[tensor([-99.5737], grad_fn=<AddBackward0>)]",-14.54,[19.05637792 21.          6.         -0.9       ],False
113,[19.05637792 21.          6.         -0.9       ],"[tensor([-100.8246], grad_fn=<AddBackward0>)]",-15.19,[18.98081014 22.          6.         -1.5       ],False
114,[18.98081014 22.          6.         -1.5       ],"[tensor([-101.6968], grad_fn=<AddBackward0>)]",-16.04,[18.93809466 23.          6.         -1.4       ],False
115,[18.93809466 23.          6.         -1.4       ],"[tensor([-102.9964], grad_fn=<AddBackward0>)]",-16.51,[18.92688056  1.          7.         -1.5       ],False
116,[18.92688056  1.          7.         -1.5       ],"[tensor([-97.0744], grad_fn=<AddBackward0>)]",-16.74,[18.91291459  1.          7.         -1.5       ],False
117,[18.91291459  1.          7.         -1.5       ],"[tensor([-97.8133], grad_fn=<AddBackward0>)]",-17.01,[18.89295998  2.          7.         -1.5       ],False
118,[18.89295998  2.          7.         -1.5       ],"[tensor([-98.8637], grad_fn=<AddBackward0>)]",-17.24,[18.88284949  3.          7.         -1.5       ],False
119,[18.88284949  3.          7.         -1.5       ],"[tensor([-100.0081], grad_fn=<AddBackward0>)]",-17.38,[18.87721557  4.          7.         -1.2       ],False
120,[18.87721557  4.          7.         -1.2       ],"[tensor([-101.3617], grad_fn=<AddBackward0>)]",-17.47,[18.87209582  5.          7.         -1.2       ],False
121,[18.87209582  5.          7.         -1.2       ],"[tensor([-102.6191], grad_fn=<AddBackward0>)]",-17.54,[18.86803624  6.          7.         -1.5       ],False
122,[18.86803624  6.          7.         -1.5       ],"[tensor([-103.7560], grad_fn=<AddBackward0>)]",-17.5,[18.87723363  7.          7.         -1.7       ],False
123,[18.87723363  7.          7.         -1.7       ],"[tensor([-105.0174], grad_fn=<AddBackward0>)]",-17.25,[18.92027486  8.          7.         -1.9       ],False
124,[18.92027486  8.          7.         -1.9       ],"[tensor([-106.4426], grad_fn=<AddBackward0>)]",-26.77,[18.94463909  9.          7.         -1.9       ],False
125,[18.94463909  9.          7.         -1.9       ],"[tensor([-107.9867], grad_fn=<AddBackward0>)]",-25.71,[19.05056889 10.          7.         -1.2       ],False
126,[19.05056889 10.          7.         -1.2       ],"[tensor([-110.3382], grad_fn=<AddBackward0>)]",-23.55,[19.24421043 11.          7.         -0.9       ],False
127,[19.24421043 11.          7.         -0.9       ],"[tensor([-112.9963], grad_fn=<AddBackward0>)]",-20.89,[19.40520038 12.          7.         -1.        ],False
128,[19.40520038 12.          7.         -1.        ],"[tensor([-115.3464], grad_fn=<AddBackward0>)]",-18.71,[19.515855 13.        7.       -1.      ],False
129,[19.515855 13.        7.       -1.      ],"[tensor([-117.5072], grad_fn=<AddBackward0>)]",-17.64,[19.5592017 14.         7.        -1.2      ],False
130,[19.5592017 14.         7.        -1.2      ],"[tensor([-119.2685], grad_fn=<AddBackward0>)]",-17.62,[19.50753445 15.          7.         -1.        ],False
131,[19.50753445 15.          7.         -1.        ],"[tensor([-120.7301], grad_fn=<AddBackward0>)]",-8.9,[19.35351765 16.          7.         -1.        ],False
132,[19.35351765 16.          7.         -1.        ],"[tensor([-121.4513], grad_fn=<AddBackward0>)]",-11.15,[19.18560829 17.          7.         -1.        ],False
133,[19.18560829 17.          7.         -1.        ],"[tensor([-121.9867], grad_fn=<AddBackward0>)]",-13.4,[19.08247503 18.          7.         -0.7       ],False
134,[19.08247503 18.          7.         -0.7       ],"[tensor([-122.8569], grad_fn=<AddBackward0>)]",-14.75,[19.02591085 19.          7.         -0.7       ],False
135,[19.02591085 19.          7.         -0.7       ],"[tensor([-123.8012], grad_fn=<AddBackward0>)]",-15.57,[18.98410825 20.          7.         -0.5       ],False
136,[18.98410825 20.          7.         -0.5       ],"[tensor([-124.8967], grad_fn=<AddBackward0>)]",-16.14,[18.95454246 21.          7.         -0.4       ],False
137,[18.95454246 21.          7.         -0.4       ],"[tensor([-126.0779], grad_fn=<AddBackward0>)]",-16.92,[18.87219009 22.          7.         -0.4       ],False
138,[18.87219009 22.          7.         -0.4       ],"[tensor([-127.0282], grad_fn=<AddBackward0>)]",-17.94,[18.81552607 23.          7.         -0.2       ],False
139,[18.81552607 23.          7.         -0.2       ],"[tensor([-129.0585], grad_fn=<AddBackward0>)]",-18.53,[18.80155461  1.          8.         -0.2       ],False
140,[18.80155461  1.          8.         -0.2       ],"[tensor([-123.3711], grad_fn=<AddBackward0>)]",-18.74,[18.79298742  1.          8.         -0.2       ],False
141,[18.79298742  1.          8.         -0.2       ],"[tensor([-124.0779], grad_fn=<AddBackward0>)]",-18.9,[18.7797269  2.         8.        -0.2      ],False
142,[18.7797269  2.         8.        -0.2      ],"[tensor([-125.1357], grad_fn=<AddBackward0>)]",-19.07,[18.77023553  3.          8.         -0.4       ],False
143,[18.77023553  3.          8.         -0.4       ],"[tensor([-126.1890], grad_fn=<AddBackward0>)]",-19.19,[18.76372001  4.          8.         -0.5       ],False
144,[18.76372001  4.          8.         -0.5       ],"[tensor([-127.3353], grad_fn=<AddBackward0>)]",-19.18,[18.76883492  5.          8.         -0.5       ],False
145,[18.76883492  5.          8.         -0.5       ],"[tensor([-128.6363], grad_fn=<AddBackward0>)]",-19.14,[18.76911387  6.          8.         -0.5       ],False
146,[18.76911387  6.          8.         -0.5       ],"[tensor([-129.9418], grad_fn=<AddBackward0>)]",-18.89,[18.81447095  7.          8.         -0.5       ],False
147,[18.81447095  7.          8.         -0.5       ],"[tensor([-131.5136], grad_fn=<AddBackward0>)]",-17.94,[18.90314183  8.          8.         -0.4       ],False
148,[18.90314183  8.          8.         -0.4       ],"[tensor([-133.3634], grad_fn=<AddBackward0>)]",-25.91,[18.89878873  9.          8.         -0.2       ],False
149,[18.89878873  9.          8.         -0.2       ],"[tensor([-134.8690], grad_fn=<AddBackward0>)]",-24.95,[18.99444295 10.          8.         -0.2       ],False
150,[18.99444295 10.          8.         -0.2       ],"[tensor([-136.9542], grad_fn=<AddBackward0>)]",-23.33,[19.12917687 11.          8.         -0.2       ],False
151,[19.12917687 11.          8.         -0.2       ],"[tensor([-139.3275], grad_fn=<AddBackward0>)]",-21.82,[19.18626265 12.          8.          0.1       ],False
152,[19.18626265 12.          8.          0.1       ],"[tensor([-141.4056], grad_fn=<AddBackward0>)]",-21.27,[19.18283269 13.          8.          0.2       ],False
153,[19.18283269 13.          8.          0.2       ],"[tensor([-143.1064], grad_fn=<AddBackward0>)]",-21.46,[19.20466107 14.          8.          0.7       ],False
154,[19.20466107 14.          8.          0.7       ],"[tensor([-145.1296], grad_fn=<AddBackward0>)]",-21.509999999999998,[19.18154795 15.          8.          1.1       ],False
155,[19.18154795 15.          8.          1.1       ],"[tensor([-146.8934], grad_fn=<AddBackward0>)]",-12.02,[19.1798723 16.         8.         1.2      ],False
156,[19.1798723 16.         8.         1.2      ],"[tensor([-148.4625], grad_fn=<AddBackward0>)]",-12.28,[19.16143758 17.          8.          1.6       ],False
157,[19.16143758 17.          8.          1.6       ],"[tensor([-149.9163], grad_fn=<AddBackward0>)]",-12.8,[19.14922935 18.          8.          1.7       ],False
158,[19.14922935 18.          8.          1.7       ],"[tensor([-151.1655], grad_fn=<AddBackward0>)]",-13.15,[19.1454392 19.         8.         2.       ],False
159,[19.1454392 19.         8.         2.       ],"[tensor([-152.4564], grad_fn=<AddBackward0>)]",-14.42,[19.00738011 20.          8.          2.5       ],False
160,[19.00738011 20.          8.          2.5       ],"[tensor([-152.9364], grad_fn=<AddBackward0>)]",-15.71,[18.95368708 21.          8.          3.1       ],False
161,[18.95368708 21.          8.          3.1       ],"[tensor([-154.0298], grad_fn=<AddBackward0>)]",-16.57,[18.89111718 22.          8.          3.6       ],False
162,[18.89111718 22.          8.          3.6       ],"[tensor([-155.1257], grad_fn=<AddBackward0>)]",-17.2,[18.86362235 23.          8.          3.7       ],False
163,[18.86362235 23.          8.          3.7       ],"[tensor([-156.2237], grad_fn=<AddBackward0>)]",-17.43,[18.86160168  1.          9.          4.        ],False
164,[18.86160168  1.          9.          4.        ],"[tensor([-151.6108], grad_fn=<AddBackward0>)]",-17.48,[18.85735252  1.          9.          4.        ],False
165,[18.85735252  1.          9.          4.        ],"[tensor([-152.1102], grad_fn=<AddBackward0>)]",-17.55,[18.85041436  2.          9.          4.1       ],False
166,[18.85041436  2.          9.          4.1       ],"[tensor([-152.9110], grad_fn=<AddBackward0>)]",-17.63,[18.84494454  3.          9.          3.7       ],False
167,[18.84494454  3.          9.          3.7       ],"[tensor([-153.5489], grad_fn=<AddBackward0>)]",-17.74,[18.83458645  4.          9.          4.7       ],False
168,[18.83458645  4.          9.          4.7       ],"[tensor([-154.7220], grad_fn=<AddBackward0>)]",-17.87,[18.82510182  5.          9.          4.        ],False
169,[18.82510182  5.          9.          4.        ],"[tensor([-155.2204], grad_fn=<AddBackward0>)]",-17.98,[18.82033343  6.          9.          3.6       ],False
170,[18.82033343  6.          9.          3.6       ],"[tensor([-155.8372], grad_fn=<AddBackward0>)]",-17.7,[18.87388729  7.          9.          3.7       ],False
171,[18.87388729  7.          9.          3.7       ],"[tensor([-156.9891], grad_fn=<AddBackward0>)]",-16.63,[18.97571945  8.          9.          3.2       ],False
172,[18.97571945  8.          9.          3.2       ],"[tensor([-158.1683], grad_fn=<AddBackward0>)]",-24.310000000000002,[19.01317042  9.          9.          3.2       ],False
173,[19.01317042  9.          9.          3.2       ],"[tensor([-159.2926], grad_fn=<AddBackward0>)]",-23.39,[19.08207468 10.          9.          4.1       ],False
174,[19.08207468 10.          9.          4.1       ],"[tensor([-161.0872], grad_fn=<AddBackward0>)]",-22.32,[19.14771771 11.          9.          4.7       ],False
175,[19.14771771 11.          9.          4.7       ],"[tensor([-162.8199], grad_fn=<AddBackward0>)]",-21.4,[19.19037589 12.          9.          5.5       ],False
176,[19.19037589 12.          9.          5.5       ],"[tensor([-164.5565], grad_fn=<AddBackward0>)]",-20.79,[19.22355991 13.          9.          5.6       ],False
177,[19.22355991 13.          9.          5.6       ],"[tensor([-165.9541], grad_fn=<AddBackward0>)]",-20.72,[19.2518467 14.         9.         6.5      ],False
178,[19.2518467 14.         9.         6.5      ],"[tensor([-167.6772], grad_fn=<AddBackward0>)]",-20.5,[19.26704647 15.          9.          6.2       ],False
179,[19.26704647 15.          9.          6.2       ],"[tensor([-168.8159], grad_fn=<AddBackward0>)]",-10.61,[19.28388829 16.          9.          5.2       ],False
180,[19.28388829 16.          9.          5.2       ],"[tensor([-169.3883], grad_fn=<AddBackward0>)]",-10.57,[19.27770505 17.          9.          3.6       ],False
181,[19.27770505 17.          9.          3.6       ],"[tensor([-169.2518], grad_fn=<AddBackward0>)]",-10.77,[19.28569919 18.          9.          2.2       ],False
182,[19.28569919 18.          9.          2.2       ],"[tensor([-169.1439], grad_fn=<AddBackward0>)]",-10.98,[19.27524954 19.          9.          1.6       ],False
